iter	Passed	Remaining
0	1	168
1	3	153
2	4	147
3	5	138
4	7	138
5	8	138
6	10	136
7	11	134
8	13	131
9	14	130
10	15	128
11	17	127
12	18	126
13	20	125
14	21	124
15	23	122
16	24	120
17	26	119
18	27	117
19	29	116
20	30	114
21	31	112
22	33	111
23	34	109
24	35	107
25	37	106
26	38	104
27	40	102
28	41	101
29	42	99
30	44	98
31	45	97
32	47	95
33	48	94
34	50	93
35	51	91
36	53	90
37	54	89
38	55	87
39	57	86
40	58	84
41	59	82
42	60	80
43	62	79
44	63	77
45	65	76
46	66	75
47	68	73
48	69	72
49	70	70
50	72	69
51	73	68
52	75	66
53	76	65
54	77	63
55	78	61
56	80	60
57	81	59
58	83	57
59	84	56
60	85	54
61	87	53
62	88	52
63	90	50
64	91	49
65	93	47
66	94	46
67	95	45
68	96	43
69	98	42
70	99	40
71	100	39
72	102	37
73	103	36
74	105	35
75	106	33
76	107	32
77	108	30
78	110	29
79	111	27
80	113	26
81	114	25
82	115	23
83	117	22
84	118	20
85	120	19
86	121	18
87	122	16
88	124	15
89	126	14
90	127	12
91	129	11
92	131	9
93	133	8
94	134	7
95	135	5
96	136	4
97	137	2
98	138	1
99	140	0
